Alpine function con p=0.05 Stacionary GA
Torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,23.80,1.60,2,10
2,18.06,1.79,5,10
3,16.19,2.05,4,10
4,16.94,3.12,7,10
5,16.43,3.80,4,10
6,16.22,1.03,8,10
7,16.13,2.58,5,10
8,17.00,3.06,5,10
9,16.62,1.68,5,10
10,15.68,2.33,8,10
11,16.96,1.67,6,10
12,17.25,1.15,4,10
13,16.36,3.91,5,10
14,21.04,1.13,3,10
15,19.04,3.59,7,10
16,16.42,1.04,7,10
17,15.90,0.86,8,10
18,16.28,2.92,8,10
19,18.24,3.09,6,10
20,15.44,2.77,7,10
1,17.44,1.98,8,30
2,16.48,1.74,6,30
3,16.27,1.89,4,30
4,17.83,1.96,7,30
5,15.92,0.92,1,30
6,17.44,0.86,1,30
7,18.80,1.91,6,30
8,22.97,3.53,5,30
9,17.82,4.41,8,30
10,16.81,2.27,7,30
11,15.95,1.76,1,30
12,16.63,1.17,8,30
13,16.92,1.57,7,30
14,23.72,1.53,7,30
15,16.27,2.02,3,30
16,16.77,3.07,7,30
17,18.00,1.95,5,30
18,18.95,1.39,1,30
19,16.01,2.89,8,30
20,16.95,1.85,8,30
Dixon function con p=0.5 Stacionary GA
Torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,17.45,21.52,6,10
2,17.93,12.64,8,10
3,17.30,18.58,7,10
4,17.99,19.99,5,10
5,16.57,14.38,6,10
6,17.30,25.43,3,10
7,16.50,11.35,2,10
8,17.75,6.38,7,10
9,19.05,24.98,8,10
10,20.93,26.68,8,10
11,17.38,16.94,7,10
12,17.42,15.53,8,10
13,18.77,12.40,7,10
14,18.27,32.05,8,10
15,17.14,22.97,1,10
16,18.43,27.41,8,10
17,19.17,18.08,7,10
18,20.79,14.21,6,10
19,18.17,16.33,0,10
20,21.60,12.23,5,10
1,18.86,25.06,7,30
2,19.52,18.68,3,30
3,17.65,17.04,8,30
4,17.75,22.71,8,30
5,17.03,13.51,5,30
6,19.49,25.55,1,30
7,22.37,26.81,2,30
8,18.79,22.31,2,30
9,23.38,16.91,8,30
10,26.25,22.98,8,30
11,23.04,18.99,7,30
12,20.50,29.72,1,30
13,22.03,12.96,4,30
14,21.41,27.58,1,30
15,20.31,21.68,4,30
16,22.02,30.55,2,30
17,20.87,20.45,7,30
18,20.05,24.18,8,30
19,21.51,11.55,8,30
20,23.61,13.83,1,30
Quintic function p=0.25 Stacionary GA
Torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,20.93,0.38,4,10
2,24.30,0.48,5,10
3,21.29,0.54,2,10
4,24.77,0.43,8,10
5,23.42,0.49,2,10
6,19.74,0.37,6,10
7,18.21,0.73,4,10
8,20.13,0.31,8,10
9,20.79,0.55,3,10
10,18.68,0.50,2,10
11,18.38,0.42,6,10
12,18.28,0.50,4,10
13,17.77,0.48,4,10
14,19.31,0.43,4,10
15,17.98,0.33,4,10
16,20.69,0.44,6,10
17,18.37,0.40,5,10
18,20.20,0.45,6,10
