Alpine function Stacionary GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,849.78,0.01,7,10
2,1406.68,0.01,7,10
3,1412.69,0.01,5,10
4,850.40,0.07,4,10
5,1531.56,0.05,8,10
6,1288.66,0.03,8,10
7,740.32,0.02,8,10
8,670.40,0.01,3,10
9,239.54,0.02,7,10
10,223.76,0.01,8,10
11,177.35,0.13,6,10
12,437.77,0.01,5,10
13,160.30,0.01,7,10
14,172.71,0.02,4,10
15,428.29,0.02,5,10
16,183.59,0.07,8,10
17,366.07,0.01,1,10
18,266.43,0.04,6,10
19,329.71,0.01,7,10
20,241.26,0.01,7,10
1,447.95,0.05,5,30
2,350.89,0.31,8,30
3,262.28,0.17,5,30
4,299.13,0.02,4,30
5,363.70,0.11,7,30
6,453.70,0.01,5,30
7,318.10,0.04,8,30
8,200.11,0.04,1,30
9,309.60,0.02,8,30
10,117.18,0.04,6,30
11,210.92,0.03,8,30
12,186.34,0.05,8,30
13,443.16,0.02,5,30
14,396.12,0.01,6,30
15,208.75,0.02,3,30
16,475.59,0.07,5,30
17,462.62,0.01,7,30
18,320.63,0.02,8,30
19,321.04,0.01,5,30
20,345.15,0.02,8,30
Dixon function Stacionary GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,243.81,2.80,4,10
2,448.04,13.07,6,10
3,427.90,0.81,4,10
4,277.80,1.89,7,10
5,302.67,0.68,8,10
6,243.85,0.99,8,10
7,475.72,4.65,8,10
8,172.86,1.99,7,10
9,391.27,3.41,7,10
10,250.39,0.62,8,10
11,271.42,0.75,5,10
12,295.75,2.01,8,10
13,162.73,0.84,4,10
14,387.55,0.74,8,10
15,347.70,1.54,4,10
16,499.25,0.50,8,10
17,276.16,4.54,8,10
18,149.89,0.65,7,10
19,553.27,5.02,8,10
20,345.47,4.92,4,10
1,210.89,1.66,4,30
2,349.47,0.45,7,30
3,302.10,4.91,5,30
4,272.98,1.59,5,30
5,269.79,1.65,6,30
6,500.50,0.62,3,30
7,320.65,3.19,8,30
8,184.83,0.77,5,30
9,389.81,0.98,8,30
10,305.57,1.88,6,30
11,119.66,10.15,8,30
12,166.59,7.03,6,30
13,334.29,0.66,4,30
14,237.26,1.77,1,30
15,401.37,1.61,8,30
16,371.09,1.30,6,30
17,455.91,2.82,1,30
18,223.68,3.85,7,30
19,260.06,2.05,6,30
20,458.12,0.89,2,30
Quintic function Stacionary GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,393.73,0.11,8,10
2,153.19,0.15,2,10
3,230.00,0.12,8,10
4,230.54,0.14,8,10
5,395.09,0.19,7,10
6,439.88,0.12,4,10
7,338.38,0.12,4,10
8,280.92,0.11,7,10
9,349.64,0.19,6,10
10,409.68,0.13,8,10
11,410.26,0.11,6,10
12,403.98,0.15,8,10
13,408.02,0.25,0,10
14,310.58,0.15,3,10
15,307.93,0.19,2,10
16,289.17,0.18,6,10
17,351.00,0.11,8,10
18,404.78,0.14,5,10
19,380.02,0.13,8,10
20,257.95,0.13,5,10
1,211.04,0.16,7,30
2,342.31,0.06,7,30
3,315.08,0.13,7,30
4,169.81,0.13,8,30
5,294.84,0.11,0,30
6,110.12,0.23,3,30
7,288.60,0.09,8,30
8,338.62,0.18,8,30
9,372.22,0.19,8,30
10,260.71,0.11,4,30
11,371.29,0.13,7,30
12,521.14,0.16,2,30
13,342.63,0.15,7,30
14,407.52,0.12,5,30
15,435.07,0.07,8,30
16,453.95,0.18,8,30
17,398.75,0.15,4,30
18,385.92,0.07,7,30
19,323.23,0.19,7,30
20,224.70,0.15,8,30
Schwefel function Stacionary GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,407.30,0.00,8,10
2,157.66,0.00,7,10
3,258.05,0.00,6,10
4,528.83,0.00,8,10
5,140.70,0.00,0,10
6,71.36,0.00,0,10
7,105.02,0.00,8,10
8,269.36,0.00,7,10
9,309.79,0.00,7,10
10,215.22,0.00,6,10
11,237.73,0.00,8,10
12,279.88,0.00,5,10
13,135.80,0.00,2,10
14,380.23,0.00,5,10
15,426.81,0.00,7,10
16,290.67,0.00,5,10
17,333.61,0.04,6,10
18,407.67,0.00,7,10
19,249.75,0.00,6,10
20,332.02,0.00,5,10
1,274.33,0.00,3,30
2,271.53,0.00,7,30
3,82.76,0.00,7,30
4,363.90,0.00,1,30
5,325.82,0.00,5,30
6,338.16,0.00,6,30
7,140.08,0.00,2,30
8,186.88,0.00,3,30
9,332.81,0.00,6,30
10,336.81,0.00,8,30
11,143.52,0.00,8,30
12,420.53,0.00,8,30
13,322.25,0.00,5,30
14,457.01,0.00,4,30
15,307.65,0.00,6,30
16,212.45,0.00,5,30
17,198.34,0.00,7,30
18,230.45,0.00,7,30
19,211.56,0.00,7,30
20,282.76,0.00,5,30
Streched function Stacionary GA con operadores tramposos Por torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
1,149.58,0.46,8,10
2,212.61,0.33,6,10
3,455.70,0.38,7,10
4,405.96,0.43,5,10
5,333.74,0.74,7,10
6,242.12,0.69,4,10
7,356.93,0.53,7,10
8,291.66,0.57,2,10
9,213.04,0.37,8,10
10,299.11,0.29,8,10
11,549.97,0.48,5,10
12,444.88,0.84,8,10
13,301.36,1.50,0,10
14,560.30,0.44,8,10
15,410.75,0.43,8,10
16,309.34,0.65,5,10
17,256.27,0.69,7,10
18,177.08,0.80,7,10
19,413.17,0.82,0,10
20,361.15,0.75,4,10
1,203.66,0.88,8,30
2,221.23,0.52,8,30
3,173.09,0.95,7,30
4,419.20,1.00,1,30
5,372.18,0.35,7,30
6,362.23,0.71,6,30
7,252.06,0.63,7,30
8,118.43,0.47,2,30
9,252.06,0.74,8,30
10,379.27,0.52,5,30
11,461.97,0.74,6,30
12,189.11,0.65,0,30
13,237.53,0.83,8,30
14,165.93,1.27,7,30
15,348.36,1.05,8,30
16,432.02,0.43,8,30
17,369.84,0.49,7,30
18,160.76,0.55,1,30
19,343.03,0.51,2,30
