RMHC Alpine function con operadores normales
Iteracion,Tiempo_ms,Solucion,Dimension
1,6.18,12.20,10
2,3.67,20.57,10
3,4.12,21.44,10
4,3.43,23.38,10
5,3.48,20.55,10
6,3.41,16.25,10
7,4.61,24.14,10
8,3.52,27.70,10
9,3.67,27.11,10
10,4.14,18.87,10
11,3.49,19.91,10
12,3.66,24.87,10
13,3.60,21.77,10
14,3.52,24.00,10
15,3.53,24.24,10
16,3.48,22.67,10
17,3.49,20.04,10
18,3.46,32.88,10
19,3.46,30.06,10
20,3.50,19.83,10
1,3.58,28.57,30
2,3.41,16.00,30
3,3.43,16.99,30
4,3.39,16.08,30
5,3.54,19.25,30
6,3.42,18.31,30
7,3.45,28.34,30
8,8.99,20.33,30
9,3.57,31.82,30
10,3.63,26.18,30
11,3.42,17.60,30
12,3.45,12.04,30
13,3.79,17.68,30
14,3.68,15.94,30
15,3.46,17.64,30
16,3.42,21.86,30
17,3.39,19.23,30
18,3.40,36.70,30
19,3.63,31.60,30
20,3.59,24.84,30
RMHC Dixon function con operadores normales
Iteracion,Tiempo_ms,Solucion,Dimension
1,4.71,28.43,10
2,4.58,13.19,10
3,4.52,36.18,10
4,4.52,22.94,10
5,4.53,32.53,10
6,4.59,26.06,10
7,4.55,27.18,10
8,4.66,18.27,10
9,4.71,22.56,10
10,4.53,30.13,10
11,308.68,23.83,10
12,6.76,17.67,10
13,5.22,30.60,10
14,4.86,37.41,10
15,4.49,24.23,10
16,4.54,22.25,10
17,4.57,27.86,10
18,4.56,19.58,10
19,4.71,15.42,10
20,4.60,40.51,10
1,4.60,21.34,30
2,4.70,20.90,30
3,4.66,32.86,30
4,4.54,25.11,30
5,4.49,29.99,30
6,4.50,28.57,30
7,4.79,45.02,30
8,4.58,25.82,30
9,4.48,23.24,30
10,4.63,28.65,30
11,4.58,33.86,30
12,411.38,23.50,30
13,11.79,28.64,30
14,11.79,22.63,30
15,12.18,15.49,30
16,12.53,26.60,30
17,10.98,31.39,30
18,6.91,40.82,30
19,4.92,36.60,30
20,4.55,10.72,30
RMHC Quintic function con operadores normales
Iteracion,Tiempo_ms,Solucion,Dimension
1,8.70,37.10,10
2,313.38,26.42,10
3,10.43,35.64,10
4,11.41,40.34,10
5,12.85,20.74,10
6,13.50,18.55,10
7,14.47,18.03,10
8,15.73,41.89,10
9,414.26,17.29,10
10,10.42,24.37,10
11,8.95,24.77,10
12,9.25,26.93,10
13,9.16,36.64,10
14,9.35,32.27,10
15,9.05,24.17,10
16,9.21,36.89,10
17,8.91,14.96,10
18,9.31,29.31,10
19,410.99,41.04,10
20,25.60,18.24,10
1,20.28,41.30,30
2,9.92,31.17,30
3,9.41,25.94,30
4,8.62,27.74,30
5,8.57,28.14,30
6,8.62,16.16,30
7,311.79,29.33,30
8,10.34,23.69,30
9,9.09,26.00,30
10,9.79,25.57,30
11,8.96,37.06,30
12,9.47,25.34,30
13,8.88,25.47,30
14,9.19,31.72,30
15,10.18,20.28,30
16,9.84,28.58,30
17,9.65,28.78,30
18,414.26,28.50,30
19,8.77,26.34,30
20,9.73,20.64,30
RMHC Schwefel function con operadores normales
Iteracion,Tiempo_ms,Solucion,Dimension
1,2.34,34.17,10
2,2.32,28.87,10
3,2.29,31.34,10
4,2.33,22.59,10
5,2.48,26.11,10
6,2.28,30.26,10
7,2.28,29.57,10
8,2.32,20.21,10
9,2.31,23.73,10
10,2.28,22.26,10
11,2.42,39.65,10
12,2.50,19.10,10
13,2.52,21.97,10
14,2.32,33.82,10
15,2.42,20.44,10
16,2.34,36.24,10
17,2.31,25.36,10
18,1.16,30.37,10
19,1.18,40.39,10
20,2.29,28.36,10
1,2.47,23.02,30
2,2.32,24.62,30
3,2.30,17.67,30
4,2.28,25.84,30
5,2.29,24.43,30
6,2.28,30.13,30
7,2.33,21.55,30
8,2.30,35.47,30
9,2.50,26.74,30
10,403.50,29.83,30
11,5.43,22.95,30
12,3.42,31.38,30
13,2.56,37.96,30
14,3.61,24.23,30
15,4.62,19.23,30
16,3.38,33.46,30
17,2.50,17.90,30
18,2.64,41.97,30
19,3.67,30.78,30
20,2.95,31.79,30
RMHC Streched function con operadores normales
Iteracion,Tiempo_ms,Solucion,Dimension
1,9.92,33.74,10
2,11.53,23.54,10
3,14.98,18.96,10
4,9.67,38.03,10
5,10.21,36.53,10
6,416.62,36.56,10
7,21.29,28.18,10
8,22.54,33.61,10
9,21.98,37.71,10
10,20.73,19.01,10
11,323.49,27.46,10
12,22.05,16.43,10
13,22.75,19.34,10
14,21.92,12.68,10
15,424.03,26.52,10
16,21.53,19.31,10
17,21.34,37.02,10
18,21.27,19.89,10
19,21.38,28.18,10
20,524.14,21.49,10
1,21.11,29.89,30
2,20.15,28.11,30
3,26.76,22.52,30
4,324.08,35.60,30
5,21.89,34.96,30
6,21.24,34.29,30
7,9.87,21.11,30
8,8.45,25.91,30
9,8.26,26.95,30
10,9.57,25.77,30
11,9.07,17.51,30
12,314.71,20.53,30
13,9.52,21.44,30
14,8.24,20.95,30
15,8.38,29.04,30
16,8.51,31.20,30
17,10.21,17.89,30
18,10.14,20.70,30
19,8.88,23.25,30
20,8.58,27.73,30
RMHC Sum Squares function con operadores normales
Iteracion,Tiempo_ms,Solucion,Dimension
1,3.72,33.18,10
2,3.93,30.28,10
3,3.89,27.66,10
4,425.16,24.66,10
5,9.60,25.45,10
6,9.63,38.17,10
7,9.42,31.22,10
8,9.85,28.35,10
9,9.34,28.23,10
10,9.77,19.63,10
11,9.27,29.99,10
12,9.74,28.02,10
13,244.19,20.87,10
14,9.82,39.76,10
15,11.18,24.04,10
16,9.32,34.57,10
17,8.91,22.02,10
18,9.20,19.68,10
19,109.91,16.77,10
20,9.71,22.19,10
1,7.40,45.49,30
2,7.06,22.76,30
3,6.89,26.28,30
4,7.12,32.26,30
5,8.66,17.25,30
6,12.87,21.69,30
7,6.74,28.60,30
8,5.66,25.22,30
9,5.25,21.37,30
10,6.06,24.56,30
11,4.44,17.17,30
12,4.55,13.58,30
13,3.98,30.92,30
14,306.51,21.02,30
15,10.14,12.64,30
16,4.38,34.90,30
17,6.78,37.05,30
18,5.76,30.61,30
19,6.94,25.50,30
20,5.91,23.95,30
