RMHC Alpine function con operadores tramposos
Iteracion,Tiempo_ms,Solucion,Dimension
1,4.51,1.24,10
2,3.86,2.43,10
3,3.73,4.31,10
4,4.59,4.07,10
5,8.34,7.13,10
6,4.48,0.69,10
7,3.24,3.67,10
8,2.14,2.31,10
9,2.04,5.19,10
10,2.94,0.70,10
11,5.92,10.76,10
12,4.49,0.49,10
13,2.29,3.06,10
14,4.16,4.22,10
15,3.21,1.46,10
16,2.76,0.31,10
17,4.15,3.87,10
18,4.01,4.41,10
19,3.80,5.26,10
20,3.20,1.36,10
1,3.99,1.11,30
2,3.57,0.89,30
3,2.50,1.35,30
4,2.06,5.70,30
5,3.74,1.36,30
6,1.72,7.01,30
7,1.75,9.99,30
8,2.13,0.96,30
9,453.56,15.06,30
10,4.50,0.51,30
11,4.33,0.39,30
12,4.87,2.92,30
13,4.28,0.23,30
14,4.33,9.70,30
15,4.26,0.73,30
16,4.30,7.71,30
17,4.39,9.03,30
18,4.63,0.61,30
19,4.50,7.87,30
20,304.20,0.27,30
RMHC Dixon function con operadores tramposos
Iteracion,Tiempo_ms,Solucion,Dimension
1,2.34,1.48,10
2,2.39,0.86,10
3,4.65,4.05,10
4,2.21,1.15,10
5,2.34,0.68,10
6,2.42,1.68,10
7,2.25,1.34,10
8,2.67,5.13,10
9,4.46,3.29,10
10,4.45,1.02,10
11,2.35,0.60,10
12,2.25,0.35,10
13,4.35,0.91,10
14,2.21,4.08,10
15,2.26,11.61,10
16,2.20,1.78,10
17,4.58,1.14,10
18,4.55,11.17,10
19,2.30,0.91,10
20,2.73,1.99,10
1,3.48,0.16,30
2,4.68,4.30,30
3,9.28,1.18,30
4,4.91,6.22,30
5,4.64,1.08,30
6,3.31,0.31,30
7,3.10,2.32,30
8,3.95,0.45,30
9,405.16,6.48,30
10,3.47,0.39,30
11,2.46,1.07,30
12,4.92,2.49,30
13,3.39,0.27,30
14,2.89,0.45,30
15,5.04,1.10,30
16,2.22,0.29,30
17,2.66,1.29,30
18,3.41,0.34,30
19,5.05,2.98,30
20,2.55,4.77,30
RMHC Quintic function con operadores tramposos
Iteracion,Tiempo_ms,Solucion,Dimension
1,4.46,17.78,10
2,5.75,17.78,10
3,4.85,17.78,10
4,4.51,17.79,10
5,5.43,17.79,10
6,5.26,17.77,10
7,4.51,17.78,10
8,7.35,17.80,10
9,7.72,17.77,10
10,7.04,17.78,10
11,462.78,17.80,10
12,6.12,17.78,10
13,5.73,17.78,10
14,4.99,17.79,10
15,5.62,17.78,10
16,4.50,17.79,10
17,4.41,17.79,10
18,4.45,17.78,10
19,311.29,17.79,10
20,7.39,17.79,10
1,6.83,17.79,30
2,5.73,17.79,30
3,6.55,17.77,30
4,5.65,17.79,30
5,5.44,17.78,30
6,6.54,17.76,30
7,5.64,17.78,30
8,5.65,17.79,30
9,5.72,17.79,30
10,5.47,17.80,30
11,5.59,17.79,30
12,5.62,17.77,30
13,5.65,17.80,30
14,5.83,17.78,30
15,408.69,17.79,30
16,10.54,17.79,30
17,11.12,17.79,30
18,10.48,17.79,30
19,10.78,17.78,30
20,11.99,17.79,30
RMHC Schwefel function con operadores tramposos
Iteracion,Tiempo_ms,Solucion,Dimension
1,3.19,2.88,10
2,3.33,1.33,10
3,3.60,8.86,10
4,3.27,2.02,10
5,2.98,6.91,10
6,2.66,0.89,10
7,2.12,2.88,10
8,1.88,0.61,10
9,1.72,1.96,10
10,1.63,1.78,10
11,1.46,3.05,10
12,1.29,0.44,10
13,1.52,0.38,10
14,1.26,0.80,10
15,1.25,4.94,10
16,1.25,0.46,10
17,1.25,0.31,10
18,1.31,2.43,10
19,469.20,10.21,10
20,4.16,7.29,10
1,2.87,0.48,30
2,1.98,2.21,30
3,1.49,1.26,30
4,1.30,4.61,30
5,1.87,2.73,30
6,2.50,1.71,30
7,2.42,4.70,30
8,1.25,2.79,30
9,1.22,5.60,30
10,1.25,1.43,30
11,1.23,7.80,30
12,1.21,2.51,30
13,1.17,13.73,30
14,1.24,1.51,30
15,1.25,0.63,30
16,1.39,5.14,30
17,1.71,2.53,30
18,403.45,0.43,30
19,6.61,1.73,30
20,3.21,0.37,30
RMHC Streched function con operadores tramposos
Iteracion,Tiempo_ms,Solucion,Dimension
1,19.07,0.33,10
2,20.32,0.34,10
3,22.17,0.61,10
4,9.49,1.80,10
5,10.27,5.42,10
6,4.13,0.71,10
7,326.35,0.56,10
8,5.22,0.53,10
9,10.28,0.56,10
10,5.00,4.46,10
11,10.28,11.04,10
12,4.31,1.43,10
13,4.43,7.34,10
14,5.12,0.47,10
15,4.23,0.59,10
16,4.12,3.84,10
17,4.22,6.52,10
18,4.18,1.99,10
19,4.15,2.65,10
20,4.11,1.00,10
1,412.61,1.24,30
2,5.26,0.78,30
3,8.53,0.23,30
4,8.27,0.53,30
5,4.50,2.31,30
6,9.40,4.23,30
7,9.38,4.09,30
8,3.97,4.05,30
9,8.51,5.64,30
10,4.78,0.87,30
11,4.21,0.71,30
12,4.24,5.66,30
13,4.19,5.30,30
14,8.52,5.81,30
15,4.04,1.69,30
16,513.74,5.55,30
17,20.97,1.52,30
18,11.43,0.75,30
19,18.84,3.16,30
20,25.00,1.93,30
RMHC Sum Squares function con operadores tramposos
Iteracion,Tiempo_ms,Solucion,Dimension
1,8.00,0.38,10
2,356.52,1.95,10
3,1.98,0.45,10
4,3.37,2.99,10
5,7.20,4.72,10
6,4.50,2.28,10
7,6.64,7.76,10
8,5.39,0.91,10
9,6.83,0.85,10
10,5.07,1.90,10
11,5.16,9.53,10
12,307.43,2.00,10
13,4.70,1.16,10
14,4.83,2.20,10
15,5.02,0.36,10
16,5.56,0.53,10
17,4.82,1.11,10
18,4.57,1.74,10
19,4.76,1.46,10
20,6.41,9.04,10
1,7.70,0.43,30
2,6.09,2.23,30
3,5.25,0.17,30
4,6.80,0.56,30
5,4.82,4.21,30
6,3.88,5.81,30
7,3.07,3.61,30
8,2.76,0.38,30
9,2.63,0.41,30
10,1.96,11.02,30
11,1.81,6.26,30
12,1.85,0.26,30
13,2.03,1.74,30
14,1.84,2.06,30
15,2.04,0.70,30
16,2.04,2.07,30
17,504.87,2.59,30
18,4.71,4.51,30
19,5.56,0.69,30
20,4.17,0.52,30
