SA Alpine function con operadores normales
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,10.01,0.93,24.46,10
2,7.64,0.93,52.67,10
3,5.83,0.91,17.58,10
4,3.69,0.93,23.24,10
5,9.27,0.98,24.89,10
6,10.46,0.97,35.57,10
7,6.19,0.96,32.88,10
8,9.82,0.94,28.78,10
9,7.25,0.97,36.32,10
10,5.00,0.93,32.22,10
11,5.03,0.98,39.17,10
12,3.87,0.90,44.46,10
13,3.40,0.91,41.41,10
14,3.61,0.91,37.76,10
15,2.15,0.95,51.19,10
16,4.28,0.98,19.88,10
17,505.04,0.90,27.21,10
18,3.04,0.91,19.71,10
19,3.35,0.88,32.18,10
20,2.32,0.90,30.12,10
1,2.21,0.94,23.85,30
2,2.69,0.93,29.62,30
3,2.35,0.91,25.84,30
4,2.59,0.89,36.11,30
5,2.25,0.97,32.39,30
6,2.18,0.98,36.29,30
7,2.09,0.94,40.19,30
8,2.00,0.89,36.36,30
9,2.75,0.95,32.86,30
10,2.22,0.96,25.41,30
11,2.25,0.88,27.11,30
12,2.05,0.96,28.71,30
13,1.99,0.96,35.85,30
14,2.09,0.88,39.91,30
15,2.11,0.96,27.03,30
16,2.00,0.90,36.94,30
17,2.27,0.98,30.29,30
18,2.06,0.95,42.17,30
19,2.02,0.94,40.81,30
20,2.11,0.91,14.81,30
SA Dixon function con operadores normales
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,3.02,0.89,33.54,10
2,3.06,0.91,23.71,10
3,3.05,0.95,26.56,10
4,2.91,0.96,35.24,10
5,2.97,0.91,21.88,10
6,3.03,0.94,19.11,10
7,2.93,0.97,31.98,10
8,3.08,0.96,40.00,10
9,3.33,0.99,15.86,10
10,3.26,0.97,27.05,10
11,3.25,0.97,21.69,10
12,3.51,0.90,18.26,10
13,3.81,0.89,26.73,10
14,303.62,0.90,16.87,10
15,5.25,0.91,36.15,10
16,3.81,0.89,19.52,10
17,2.99,0.95,28.51,10
18,3.63,0.88,30.93,10
19,3.12,0.95,25.75,10
20,2.89,0.94,35.65,10
1,3.27,0.94,23.35,30
2,2.98,0.89,37.47,30
3,2.81,0.92,29.64,30
4,3.16,0.96,23.29,30
5,3.03,0.97,33.97,30
6,2.82,0.89,28.66,30
7,2.88,0.95,35.16,30
8,2.82,0.98,30.29,30
9,3.05,0.93,23.48,30
10,3.31,0.96,31.73,30
11,3.08,0.98,28.67,30
12,2.91,0.92,31.15,30
13,2.86,0.99,18.78,30
14,3.09,0.95,21.90,30
15,3.15,0.91,29.62,30
16,2.94,0.92,24.44,30
17,2.93,0.89,12.70,30
18,2.99,0.98,35.01,30
19,2.81,0.93,20.08,30
20,3.22,0.89,20.44,30
SA Quintic function con operadores normales
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,11.49,0.95,13.59,10
2,317.24,0.97,9.60,10
3,15.15,0.88,15.41,10
4,14.68,0.95,12.23,10
5,14.93,0.88,17.33,10
6,14.17,0.95,10.00,10
7,13.39,0.96,9.37,10
8,13.06,0.94,10.11,10
9,522.56,0.98,11.78,10
10,22.01,0.96,7.24,10
11,21.96,0.94,18.15,10
12,24.19,0.91,12.23,10
13,330.83,0.93,9.92,10
14,34.08,0.97,12.89,10
15,41.21,0.96,12.58,10
16,332.25,0.91,23.95,10
17,31.68,0.95,7.43,10
18,32.62,0.89,12.14,10
19,533.47,0.93,11.28,10
20,30.61,0.88,13.26,10
