SA Alpine function con operadores tramposos
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,5.55,0.89,1.12,10
2,5.46,0.97,1.35,10
3,5.19,0.89,0.21,10
4,7.60,0.96,1.45,10
5,5.49,0.99,1.72,10
6,5.89,0.95,1.94,10
7,5.71,0.94,9.42,10
8,5.57,0.88,2.56,10
9,7.70,0.93,0.61,10
10,6.87,0.95,2.43,10
11,6.47,0.88,1.22,10
12,8.22,0.95,0.32,10
13,5.64,0.97,3.37,10
14,7.50,0.95,5.81,10
15,5.32,0.91,1.20,10
16,365.95,0.93,0.84,10
17,2.28,0.98,9.66,10
18,3.32,0.98,11.57,10
19,3.25,0.91,1.20,10
20,2.50,0.95,8.71,10
1,2.31,0.92,0.73,30
2,2.48,0.98,7.69,30
3,2.27,0.96,0.74,30
4,2.13,0.97,0.44,30
5,3.51,0.91,1.09,30
6,2.22,0.97,0.75,30
7,2.22,0.95,7.91,30
8,2.04,0.95,1.96,30
9,2.31,0.89,5.93,30
10,1.98,0.93,2.62,30
11,1.99,0.92,5.26,30
12,2.27,0.97,2.41,30
13,304.87,0.95,13.87,30
14,4.76,0.91,0.41,30
15,4.74,0.92,8.29,30
16,4.74,0.89,6.71,30
17,4.70,0.94,2.05,30
18,4.78,0.97,7.02,30
19,4.98,0.93,0.40,30
20,4.65,0.90,0.59,30
SA Dixon function con operadores tramposos
Iteracion,Tiempo_ms,Alpha,Solucion,Dimension
1,5.91,0.91,3.23,10
2,5.88,0.92,0.72,10
3,5.90,0.97,11.18,10
4,5.72,0.98,1.32,10
5,4.57,0.95,9.13,10
6,4.36,0.97,0.61,10
7,4.05,0.90,3.34,10
8,3.11,0.98,0.47,10
9,2.73,0.91,0.55,10
10,2.99,0.97,0.81,10
11,2.75,0.93,2.56,10
12,2.72,0.96,0.77,10
13,2.70,0.98,1.55,10
14,3.62,0.98,1.38,10
15,4.86,0.98,3.62,10
16,506.95,0.91,2.07,10
17,6.80,0.98,1.09,10
18,7.13,0.93,6.76,10
19,9.90,0.90,4.53,10
20,11.77,0.94,1.93,10
1,10.17,0.93,0.25,30
2,7.88,0.89,0.42,30
3,7.80,0.94,1.25,30
4,7.04,0.94,2.34,30
5,6.79,0.91,1.11,30
6,6.95,0.98,0.94,30
7,6.58,0.98,1.05,30
8,336.79,0.91,3.42,30
9,6.73,0.97,8.30,30
10,8.82,0.93,7.68,30
11,6.64,0.89,0.50,30
12,7.23,0.99,6.25,30
